step,candidate_id,eutt,ebs,total_error,mean_jaccard_distance,Ltrain,Ldev,Leval
0,0,0.031271091113610705,0.08515553946824422,0.11642663058185493,0.0,1;5;6,2,3;4
1,6,0.03104611923509562,0.1075378171289551,0.13858393636405072,0.9333333333333332,1;3;4,5;6,2
2,14,0.18065241844769403,0.07281658864711282,0.25346900709480685,0.8833333333333333,1;2;6,3;4,5
3,16,0.18627671541057372,0.07074896887889015,0.2570256842894639,0.7555555555555555,1;3;5,4,2;6
4,19,0.19077615298087738,0.06637192962429028,0.25714808260516764,0.7472222222222222,1;4;5,2;6,3
5,22,0.18627671541057367,0.0741032578052847,0.2603799732158584,0.7822222222222222,1;2;6,3;5,4
6,7,0.03104611923509562,0.1075378171289551,0.13858393636405072,0.7259259259259259,1;3;4,2,5;6
7,24,0.19077615298087738,0.0713652202945777,0.26214137327545506,0.7158730158730158,1;2;6,3,4;5
8,20,0.18065241844769403,0.07759311206804081,0.25824553051573484,0.7333333333333334,1;3;4;6,5,2
9,9,0.036670416197975286,0.10714959916145123,0.1438200153594265,0.7037037037037037,1;3;5,4;6,2
10,11,0.04116985376827892,0.1125065619215781,0.15367641568985702,0.7166666666666667,1;4;5,2,3;6
11,23,0.18627671541057364,0.0741032578052847,0.2603799732158584,0.7141414141414141,1;2;6,4,3;5
12,18,0.19077615298087738,0.06637192962429028,0.25714808260516764,0.6981481481481482,1;4;5,3,2;6
13,15,0.18065241844769403,0.07281658864711282,0.25346900709480685,0.7102564102564102,1;2;6,5,3;4
14,17,0.18627671541057372,0.07074896887889015,0.2570256842894639,0.7126984126984127,1;3;5,2;6,4
